"","Accession","organism_name","taxid","label","avgIntensity","proportion","nMCB","n","gene"
"1","0","Ruminococcus GM2/1",451639,"0",15910.8454285714,0.514285714285714,18,NA,0
"2","000010425.1","Bifidobacterium adolescentis ATCC 15703",367928,"GCA_000010425.1_ASM1042v1_genomic.fna.gz",2848.59457142857,0.171428571428571,6,1,1
"3","000011065.1","Bacteroides thetaiotaomicron VPI-5482",226186,"GCA_000011065.1_ASM1106v1_genomic.fna.gz",1727.99771428571,0.0571428571428571,2,1,1
"4","000012825.1","Phocaeicola vulgatus ATCC 8482",435590,"GCA_000012825.1_ASM1282v1_genomic.fna.gz",1418.59285714286,0.0571428571428571,2,2,1
"5","000012845.1","Parabacteroides distasonis ATCC 8503",435591,"GCA_000012845.1_ASM1284v1_genomic.fna.gz",0,0,0,NA,0
"6","000020225.1","Akkermansia muciniphila ATCC BAA-835",349741,"GCA_000020225.1_ASM2022v1_genomic.fna.gz",0,0,0,NA,0
"7","000020605.1","[Eubacterium] rectale ATCC 33656",515619,"GCA_000020605.1_ASM2060v1_genomic.fna.gz",0,0,0,NA,0
"8","000025765.1","Propionibacterium acnes SK137",553199,"GCA_000025765.1_ASM2576v1.fna.gz",0,0,0,NA,0
"9","000026225.1","Escherichia fergusonii ATCC 35469",585054,"GCA_000026225.1_ASM2622v1_genomic.fna.gz",0,0,0,NA,0
"10","000090945.1","Peptoniphilus F0131",575609,"GCA_000090945.1_ASM9094v1.fna.gz",0,0,0,NA,0
"11","000144005.1","Propionibacterium acnes HL001PA1",765105,"GCA_000144005.1_ASM14400v1.fna.gz",0,0,0,NA,0
"12","000144025.1","Propionibacterium acnes HL002PA1",765115,"GCA_000144025.1_ASM14402v1.fna.gz",0,0,0,NA,0
"13","000144045.1","Propionibacterium acnes HL067PA1",765110,"GCA_000144045.1_ASM14404v1.fna.gz",0,0,0,NA,0
"14","000144065.1","Propionibacterium acnes HL005PA4",765099,"GCA_000144065.1_ASM14406v1.fna.gz",0,0,0,NA,0
"15","000144085.1","Propionibacterium acnes HL044PA1",765109,"GCA_000144085.1_ASM14408v1.fna.gz",0,0,0,NA,0
"16","000144105.1","Propionibacterium acnes HL082PA2",765121,"GCA_000144105.1_ASM14410v1.fna.gz",0,0,0,NA,0
"17","000144125.1","Propionibacterium acnes HL002PA2",765116,"GCA_000144125.1_ASM14412v1.fna.gz",0,0,0,NA,0
"18","000144145.1","Propionibacterium acnes HL025PA2",765090,"GCA_000144145.1_ASM14414v1.fna.gz",0,0,0,NA,0
"19","000144165.1","Propionibacterium acnes HL053PA2",765067,"GCA_000144165.1_ASM14416v1.fna.gz",0,0,0,NA,0
"20","000144185.1","Propionibacterium acnes HL053PA1",765066,"GCA_000144185.1_ASM14418v1.fna.gz",0,0,0,NA,0
"21","000144205.1","Propionibacterium acnes HL110PA1",765077,"GCA_000144205.1_ASM14420v1.fna.gz",0,0,0,NA,0
"22","000144245.1","Propionibacterium acnes HL072PA1",765074,"GCA_000144245.1_ASM14424v1.fna.gz",0,0,0,NA,0
"23","000144265.1","Propionibacterium acnes HL050PA1",765100,"GCA_000144265.1_ASM14426v1.fna.gz",0,0,0,NA,0
"24","000144305.1","Propionibacterium acnes HL005PA1",765096,"GCA_000144305.1_ASM14430v1.fna.gz",0,0,0,NA,0
"25","000144325.1","Propionibacterium acnes HL050PA3",765102,"GCA_000144325.1_ASM14432v1.fna.gz",0,0,0,NA,0
"26","000144345.1","Propionibacterium acnes HL005PA3",765098,"GCA_000144345.1_ASM14434v1.fna.gz",0,0,0,NA,0
"27","000144365.1","Propionibacterium acnes HL045PA1",765068,"GCA_000144365.1_ASM14436v1.fna.gz",0,0,0,NA,0
"28","000144385.1","Propionibacterium acnes HL005PA2",765097,"GCA_000144385.1_ASM14438v1.fna.gz",0,0,0,NA,0
"29","000144425.1","Propionibacterium acnes HL086PA1",765093,"GCA_000144425.1_ASM14442v1.fna.gz",0,0,0,NA,0
"30","000144445.1","Propionibacterium acnes HL038PA1",765085,"GCA_000144445.1_ASM14444v1.fna.gz",0,0,0,NA,0
"31","000144465.1","Propionibacterium acnes HL050PA2",765101,"GCA_000144465.1_ASM14446v1.fna.gz",0,0,0,NA,0
"32","000144505.1","Propionibacterium acnes HL020PA1",765065,"GCA_000144505.1_ASM14450v1.fna.gz",0,0,0,NA,0
"33","000144525.1","Propionibacterium acnes HL013PA2",765070,"GCA_000144525.1_ASM14452v1.fna.gz",0,0,0,NA,0
"34","000144545.1","Propionibacterium acnes HL063PA1",765113,"GCA_000144545.1_ASM14454v1.fna.gz",0,0,0,NA,0
"35","000144565.1","Propionibacterium acnes HL036PA1",765106,"GCA_000144565.1_ASM14456v1.fna.gz",0,0,0,NA,0
"36","000144585.1","Propionibacterium acnes HL036PA2",765107,"GCA_000144585.1_ASM14458v1.fna.gz",0,0,0,NA,0
"37","000144715.1","Propionibacterium acnes HL027PA2",765112,"GCA_000144715.1_ASM14471v1.fna.gz",0,0,0,NA,0
"38","000144735.1","Propionibacterium acnes HL063PA2",765114,"GCA_000144735.1_ASM14473v1.fna.gz",0,0,0,NA,0
"39","000144755.1","Propionibacterium acnes HL043PA2",765073,"GCA_000144755.1_ASM14475v1.fna.gz",0,0,0,NA,0
"40","000144775.1","Propionibacterium acnes HL002PA3",765117,"GCA_000144775.1_ASM14477v1.fna.gz",0,0,0,NA,0
"41","000144795.1","Propionibacterium acnes HL025PA1",765089,"GCA_000144795.1_ASM14479v1.fna.gz",0,0,0,NA,0
"42","000144855.1","Propionibacterium acnes HL059PA1",765091,"GCA_000144855.1_ASM14485v1.fna.gz",0,0,0,NA,0
"43","000144875.1","Propionibacterium acnes HL046PA2",765095,"GCA_000144875.1_ASM14487v1.fna.gz",0,0,0,NA,0
"44","000144895.1","Propionibacterium acnes HL110PA4",765080,"GCA_000144895.1_ASM14489v1.fna.gz",0,0,0,NA,0
"45","000145055.1","Propionibacterium acnes HL110PA3",765079,"GCA_000145055.1_ASM14505v1.fna.gz",0,0,0,NA,0
"46","000145075.1","Propionibacterium acnes HL037PA2",765123,"GCA_000145075.1_ASM14507v1.fna.gz",0,0,0,NA,0
"47","000145095.1","Propionibacterium acnes HL056PA1",765119,"GCA_000145095.1_ASM14509v1.fna.gz",0,0,0,NA,0
"48","000145115.1","Propionibacterium acnes HL030PA1",765103,"GCA_000145115.1_ASM14511v1.fna.gz",0,0,0,NA,0
"49","000145175.1","Propionibacterium acnes HL007PA1",765118,"GCA_000145175.1_ASM14517v1.fna.gz",0,0,0,NA,0
"50","000145195.1","Propionibacterium acnes HL043PA1",765072,"GCA_000145195.1_ASM14519v1.fna.gz",0,0,0,NA,0
