pathway,pval,padj,ES,size,leadingEdge,go_description,species,category,t2d_status,genenum_cat,species_update,go_id_description,padj_annot,padj_annot1,padj_annot2
GO:0000256,0.00061744,0.057267533,-0.814859232,8,"UniRef90_B5EYC3, UniRef90_Q765R0, UniRef90_Q765S1",Allantoin catabolic process,Klebsiella_pneumoniae,Amino acid metabolism,Non-significant,1,Klebsiella pneumoniae,"GO:0000256, Allantoin catabolic process",*,*,
GO:0006535,0.017199233,0.066647026,0.745576606,6,"UniRef90_D4JHN6, UniRef90_A0A2U2EDD9, UniRef90_A0A174B3Z9, UniRef90_D6E673, UniRef90_A0A174C3B8",Cysteine biosynthetic process from serine,Eubacterium_rectale,Amino acid metabolism,Non-significant,1,Eubacterium rectale,"GO:0006535, Cysteine biosynthetic process from serine",*,*,
GO:0008360,0.009400735,0.039169728,0.64290432,11,"UniRef90_A0A174TVQ5, UniRef90_W4UPV4, UniRef90_R5U385, UniRef90_A5ZKQ9, UniRef90_Q650L9, UniRef90_R5U7U3, UniRef90_R5U413, UniRef90_R5V0F7",Regulation of cell shape,Bacteroides_caccae,Bacterial structural components,Non-significant,1,Bacteroides caccae,"GO:0008360, Regulation of cell shape",#,,#
GO:0009252,0.004437416,0.030906703,0.675230761,11,"UniRef90_A0A174TVQ5, UniRef90_W4UPV4, UniRef90_R5UVH6, UniRef90_A5ZKQ9, UniRef90_Q650L9, UniRef90_R5U7U3, UniRef90_R5U4G6, UniRef90_R5U413, UniRef90_R5V0F7",Peptidoglycan biosynthetic process,Bacteroides_caccae,Bacterial structural components,Non-significant,1,Bacteroides caccae,"GO:0009252, Peptidoglycan biosynthetic process",#,,#
GO:0045226,0.008099897,0.039169728,0.707145559,8,"UniRef90_R5U5L8, UniRef90_U2E020, UniRef90_A0A174X7D3",Extracellular polysaccharide biosynthetic process,Bacteroides_caccae,Bacterial structural components,Non-significant,1,Bacteroides caccae,"GO:0045226, Extracellular polysaccharide biosynthetic process",#,,#
GO:0019288,0.007251865,0.044961564,0.746282453,7,"UniRef90_A0A0M6WNY4, UniRef90_R5V869, UniRef90_A0A0M6WFI9, UniRef90_R5VAI7, UniRef90_A0A173UFC2","Isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",Roseburia_faecis,Bacterial structural components,Non-significant,1,Roseburia faecis,"GO:0019288, Isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",#,,#
GO:0009245,0.001750778,0.039392516,0.872814249,5,"UniRef90_A6LIV7, UniRef90_A0A078TIW6, UniRef90_A6LDS1",Lipid A biosynthetic process,Parabacteroides_distasonis,Bacterial structural components,Non-significant,1,Parabacteroides distasonis,"GO:0009245, Lipid A biosynthetic process",#,,#
GO:0009244,0.000462763,0.086305291,-0.50377562,33,"UniRef90_Q9XCA1, UniRef90_P27242, UniRef90_P27241, UniRef90_P25740, UniRef90_P27129, UniRef90_P37661, UniRef90_P30845, UniRef90_A0A1V2T2H5, UniRef90_P25742, UniRef90_P27128, UniRef90_Q9ZIS7, UniRef90_Q9R9D6, UniRef90_P27127, UniRef90_P37692, UniRef90_P0AC77, UniRef90_P27300",LPS core region biosynthetic process,Escherichia_coli,Bacterial structural components,T2D enriched,2,Escherichia coli,"GO:0009244, LPS core region biosynthetic process",*,*,
GO:0071973,0.000489744,0.005060691,0.523706406,31,"UniRef90_A0A2U2EI46, UniRef90_A0A173W997, UniRef90_C4ZB85, UniRef90_A0A174I3X9, UniRef90_A0A173W8P2, UniRef90_D6E2K5, UniRef90_A0A2U2ECW4, UniRef90_A0A173W8D9, UniRef90_A0A173W902, UniRef90_A0A173V285, UniRef90_C4ZAN5, UniRef90_A0A173WBG4, UniRef90_A0A173WBX4, UniRef90_A0A174G7C0, UniRef90_A0A174GMZ4, UniRef90_A0A2U2EJZ5",Bacterial-type flagellum-dependent cell motility,Eubacterium_rectale,Cell motility,Non-significant,2,Eubacterium rectale,"GO:0071973, Bacterial-type flagellum-dependent cell motility",#,,#
GO:0071973,0.015675765,0.099279848,0.488217855,27,"UniRef90_D4KW64, UniRef90_A0A1Q6SIS0, UniRef90_D4KW78, UniRef90_C7G5T8, UniRef90_D4KM60, UniRef90_D4KW70, UniRef90_A0A173VP34, UniRef90_D4KW69, UniRef90_C7GBH6, UniRef90_D4L298, UniRef90_D4KUB5, UniRef90_D4KW67, UniRef90_D4KW66",Bacterial-type flagellum-dependent cell motility,Roseburia_intestinalis,Cell motility,Non-significant,1,Roseburia intestinalis,"GO:0071973, Bacterial-type flagellum-dependent cell motility",*,*,
